OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1499,31E433C8-E37D-4F61-94BE-B82DFD05C7D8,TEB,TETERBORO,40.84872056,-73.93775722,H24,,2.5,108.4,-11,,3,,3A676338-C4D4-4C58-851E-EE6382B83BFC,3,,1,0,-11,0,0,0,1,0,0,0
1500,D29B5050-C28B-433F-BA4B-42D8BC8C272A,TEB,TETERBORO,40.84872056,-73.93775722,H24,,2.5,108.4,-11,,2,,3A676338-C4D4-4C58-851E-EE6382B83BFC,3,021X,1,0,-11,0,0,0,1,0,0,0
1501,B30F4CD2-401B-4C70-9BC4-2D16755644B9,OOD,WOODSTOWN,39.6360775,-74.69694361,H24,,146.7,112.8,-10,,3,,919A0D9A-1F76-47D2-A954-6364F9FD5187,2,,1,0,-10,0,0,0,1,1,1,0
1502,D1EA8201-A04B-4C3D-B2D2-AA592D0D53BE,OOD,WOODSTOWN,39.6360775,-74.69694361,H24,,146.7,112.8,-10,,4,,919A0D9A-1F76-47D2-A954-6364F9FD5187,2,075X,1,0,-10,0,0,0,1,1,1,0
1503,A13F3B1A-6521-4726-B70F-486717CAA663,GXU,MC GUIRE,40.009475,-73.40348889,H24,,118.5,110.6,-12,,3,,3A7318F7-90BF-4C4B-A96D-66BEF28D7494,1,,1,0,-12,0,0,0,1,0,0,0
1504,ED217A42-8B65-4650-885F-DBD4E45138BF,GXU,MC GUIRE,40.009475,-73.40348889,H24,,118.5,110.6,-12,,4,,3A7318F7-90BF-4C4B-A96D-66BEF28D7494,1,043X,1,0,-12,0,0,0,1,0,0,0
1505,22E8CFF8-961C-4565-B802-3ED9895D4AA8,BWS,BOLES,32.82126111,-105.9868472,H24,,4106.3,109.6,8,,3,,0E708170-1635-4636-9AE5-E1DA57C5B15C,1,,1,0,8,0,0,0,1,0,0,0
1506,5306DDEA-DADA-41CB-A3E7-36B5B875A144,BWS,BOLES,32.82126111,-105.9868472,H24,,4106.3,109.6,8,,2,,0E708170-1635-4636-9AE5-E1DA57C5B15C,1,033X,1,0,8,0,0,0,1,0,0,0
1507,5CEDD4A4-C0A5-43CC-A74B-5AA61082F475,HMN,HOLLOMAN,32.86210389,-105.8908783,H24,,4075.4,114.5,10,,4,,E96D6634-07B0-418F-99DE-81478D569A0E,2,092X,1,1,10,0,0,0,1,1,0,0
1508,1D6110F0-ECF6-4E84-B9B8-56710F3461CE,ABQ,ALBUQUERQUE,35.04379556,-105.1836881,H24,,5749,113.2,13,,3,,D6118342-AE37-4ED7-8F67-918DB4ED74B2,0,,1,0,13,0,0,0,1,1,0,0
