OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
13968,C7137C7C-646E-4EE7-9A01-F6B2CCB5A029,D0601A44-6E8E-4A85-97A3-D78E506A9779,07/25,5000,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.94306596010574e-06,0.0346676578115692
13969,F708A4DF-BBEB-4A3E-88F5-394E59D877BC,D0601A44-6E8E-4A85-97A3-D78E506A9779,13/31,3498,100,FT,ASPH,2,LIM,0,0,1,1,0,0,3.45778857990808e-06,0.0244389001100161
13970,C0F748BD-B106-4D9F-8130-EEA9D1846DB4,778D1F8B-5594-44A0-8851-DA74FA8E6777,18/36,2000,300,FT,GRASS,0,LIM,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13971,5D9B251C-F6FA-4614-A24C-8AA34E609704,90753C0F-AA71-449C-BEAE-443C5AC2C945,09/27,2350,100,FT,TURF+GRVL,,,0,0,0,0,0,0,2.3353507003776e-06,0.017557212675449
13972,24ACC8A6-12C1-423B-88F8-08DB9F7E1A41,1920C4F6-F533-45A3-B264-10C0DB8E57BE,09/27,4218,75,FT,ASPH,2,LIM,0,0,1,0,0,0,3.10965833705268e-06,0.0305302908921573
13973,E9F53175-082A-407B-897C-256C5F97D00E,6FF7BCED-7896-450F-86A9-A3C14985A16D,H1,250,150,FT,ASPH,,,0,0,0,0,0,0,3.68929704563925e-07,0.00244770000001783
13974,1EC50854-8774-499A-B600-D016347F043D,762138A6-DF11-47A0-9461-3004AEC0C09C,08/26,2500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13975,0D3AF704-7005-4D0B-8176-F746DE828AB9,7FB75910-CF70-4C6C-8D13-B68240D89845,18/36,1500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13976,8A86AB98-D14B-418B-891D-6408AB1BC716,A59CCA2F-2099-43D6-BAC6-41C0F5D6396E,H1,54,60,FT,CONC,,,0,0,0,0,0,0,3.21283550874796e-08,0.000729972000044654
13977,34D45C5F-2710-4E58-A585-B7E4BE37A074,92E09041-7CEB-4F70-AA6C-949683DC8DFC,H1,75,75,FT,ASPH,,,0,0,0,0,0,0,5.57674866286106e-08,0.000953520999987787
13978,6CA26480-DBA1-4FFE-8A2E-FA2592F34995,55CBEE01-6278-407B-8103-C4404573166E,H1,50,50,FT,CONC,3,OTHER,0,0,0,0,0,0,2.50674929702654e-08,0.000639799000058707
13979,8BD4B2C5-BFD2-4AC9-A3ED-1AB7736DE80B,5C153368-3312-42B2-9AF7-1ED89689C44B,H1,100,75,FT,GRASS,,,0,0,0,0,0,0,7.5252046372043e-08,0.00109728600000381
13980,DF0632D5-6319-4BF8-BD55-96596A3E8D3C,1529D0AF-F5A5-41C4-9EB9-8D803E917E52,H1,50,50,FT,ASPH,0,OTHER,0,0,0,0,0,0,2.50527136813616e-08,0.000639589999885186
13981,40233FBD-4FD7-48F7-9A1C-1E3E7BC0A160,173A3ECA-67B3-4A51-8071-CA0305B466CC,01/19,2868,60,FT,ASPH,2,LIM,0,0,1,0,0,0,1.71441274687822e-06,0.0161806614019355
13982,9F21B114-37EF-4099-B84B-C016CA767421,173A3ECA-67B3-4A51-8071-CA0305B466CC,09/27,3556,75,FT,ASPH,2,LIM,0,0,1,0,0,0,2.65686344391725e-06,0.0261604129971029
